wavelength,Jsc
280,0.00
281,0.00
282,0.00
283,0.00
284,0.00
285,0.00
286,0.00
287,0.00
288,0.00
289,0.00
290,0.00
291,0.00
292,0.00
293,0.00
294,0.00
295,0.00
296,0.00
297,0.00
298,0.00
299,0.00
300,0.00
301,0.00
302,0.00
303,0.00
304,0.00
305,0.00
306,0.00
307,0.00
308,0.00
309,0.00
310,0.00
311,0.00
312,0.01
313,0.01
314,0.01
315,0.01
316,0.01
317,0.02
318,0.02
319,0.02
320,0.03
321,0.03
322,0.03
323,0.04
324,0.04
325,0.05
326,0.05
327,0.06
328,0.07
329,0.07
330,0.08
331,0.09
332,0.10
333,0.10
334,0.11
335,0.12
336,0.13
337,0.13
338,0.14
339,0.15
340,0.16
341,0.17
342,0.18
343,0.19
344,0.19
345,0.20
346,0.21
347,0.22
348,0.23
349,0.24
350,0.25
351,0.26
352,0.26
353,0.27
354,0.29
355,0.30
356,0.31
357,0.32
358,0.32
359,0.33
360,0.34
361,0.35
362,0.36
363,0.38
364,0.39
365,0.40
366,0.41
367,0.43
368,0.44
369,0.45
370,0.47
371,0.48
372,0.49
373,0.51
374,0.52
375,0.53
376,0.54
377,0.56
378,0.57
379,0.59
380,0.60
381,0.62
382,0.63
383,0.64
384,0.65
385,0.66
386,0.67
387,0.69
388,0.70
389,0.71
390,0.73
391,0.75
392,0.76
393,0.77
394,0.78
395,0.80
396,0.81
397,0.83
398,0.84
399,0.86
400,0.89
401,0.91
402,0.94
403,0.96
404,0.99
405,1.01
406,1.04
407,1.06
408,1.08
409,1.11
410,1.13
411,1.16
412,1.18
413,1.21
414,1.24
415,1.26
416,1.29
417,1.32
418,1.34
419,1.37
420,1.39
421,1.42
422,1.45
423,1.48
424,1.50
425,1.53
426,1.56
427,1.58
428,1.61
429,1.63
430,1.65
431,1.67
432,1.70
433,1.73
434,1.76
435,1.78
436,1.81
437,1.85
438,1.87
439,1.90
440,1.93
441,1.96
442,2.00
443,2.03
444,2.06
445,2.10
446,2.13
447,2.16
448,2.20
449,2.23
450,2.27
451,2.31
452,2.34
453,2.38
454,2.41
455,2.45
456,2.49
457,2.53
458,2.56
459,2.60
460,2.64
461,2.67
462,2.71
463,2.75
464,2.79
465,2.83
466,2.86
467,2.90
468,2.94
469,2.98
470,3.01
471,3.05
472,3.09
473,3.13
474,3.17
475,3.21
476,3.25
477,3.29
478,3.33
479,3.37
480,3.41
481,3.45
482,3.49
483,3.53
484,3.57
485,3.61
486,3.64
487,3.68
488,3.72
489,3.76
490,3.80
491,3.84
492,3.88
493,3.92
494,3.96
495,4.00
496,4.04
497,4.08
498,4.12
499,4.16
500,4.20
501,4.24
502,4.28
503,4.32
504,4.36
505,4.40
506,4.44
507,4.48
508,4.53
509,4.57
510,4.61
511,4.65
512,4.69
513,4.73
514,4.77
515,4.82
516,4.86
517,4.89
518,4.93
519,4.97
520,5.01
521,5.05
522,5.09
523,5.13
524,5.18
525,5.22
526,5.26
527,5.30
528,5.34
529,5.39
530,5.43
531,5.48
532,5.52
533,5.56
534,5.60
535,5.65
536,5.69
537,5.73
538,5.78
539,5.82
540,5.86
541,5.90
542,5.95
543,5.99
544,6.03
545,6.08
546,6.12
547,6.17
548,6.21
549,6.25
550,6.30
551,6.34
552,6.39
553,6.43
554,6.48
555,6.52
556,6.57
557,6.61
558,6.65
559,6.70
560,6.74
561,6.79
562,6.83
563,6.87
564,6.92
565,6.96
566,7.01
567,7.05
568,7.10
569,7.14
570,7.18
571,7.23
572,7.27
573,7.32
574,7.36
575,7.41
576,7.45
577,7.50
578,7.54
579,7.59
580,7.63
581,7.68
582,7.72
583,7.77
584,7.82
585,7.86
586,7.91
587,7.96
588,8.00
589,8.04
590,8.09
591,8.13
592,8.18
593,8.22
594,8.27
595,8.31
596,8.36
597,8.40
598,8.45
599,8.49
600,8.54
601,8.59
602,8.63
603,8.68
604,8.72
605,8.77
606,8.82
607,8.87
608,8.91
609,8.96
610,9.01
611,9.05
612,9.10
613,9.15
614,9.19
615,9.24
616,9.29
617,9.33
618,9.38
619,9.43
620,9.47
621,9.52
622,9.57
623,9.61
624,9.66
625,9.71
626,9.75
627,9.80
628,9.84
629,9.89
630,9.94
631,9.98
632,10.03
633,10.08
634,10.12
635,10.17
636,10.22
637,10.27
638,10.32
639,10.37
640,10.41
641,10.47
642,10.51
643,10.56
644,10.61
645,10.65
646,10.70
647,10.75
648,10.80
649,10.84
650,10.89
651,10.94
652,10.99
653,11.04
654,11.08
655,11.13
656,11.17
657,11.21
658,11.26
659,11.31
660,11.36
661,11.40
662,11.45
663,11.51
664,11.55
665,11.60
666,11.65
667,11.69
668,11.75
669,11.80
670,11.85
671,11.90
672,11.94
673,12.00
674,12.05
675,12.09
676,12.14
677,12.19
678,12.25
679,12.30
680,12.34
681,12.39
682,12.44
683,12.50
684,12.54
685,12.59
686,12.63
687,12.67
688,12.71
689,12.76
690,12.80
691,12.84
692,12.89
693,12.93
694,12.97
695,13.03
696,13.07
697,13.12
698,13.16
699,13.21
700,13.26
701,13.31
702,13.35
703,13.40
704,13.44
705,13.50
706,13.55
707,13.59
708,13.64
709,13.69
710,13.73
711,13.79
